,Age,Hours_per_week,Workclass_cat_new,Education_cat_new,Marital_Status_cat_new,Occupation_cat,Race_cat,Sex_cat,Income
0,39,40,1,1,1,0,4,1,<=50K
1,50,13,0,1,2,3,4,1,<=50K
2,38,40,2,6,0,5,4,1,<=50K
3,53,40,2,4,2,5,2,1,<=50K
4,37,40,2,3,2,3,4,0,<=50K
5,52,45,0,6,2,3,4,1,>50K
6,31,50,2,3,1,9,4,0,>50K
7,42,40,2,1,2,3,4,1,>50K
8,37,80,2,1,2,3,2,1,>50K
9,23,30,2,1,1,0,4,0,<=50K
10,32,50,2,7,1,11,2,1,<=50K
11,25,35,0,6,1,4,4,1,<=50K
12,32,40,2,6,1,6,4,1,<=50K
13,38,50,2,4,2,11,4,1,<=50K
14,43,45,0,3,0,3,4,0,>50K
15,40,60,2,2,2,9,4,1,>50K
16,54,20,2,6,4,7,2,0,<=50K
17,35,40,1,4,2,4,2,1,<=50K
18,43,40,2,4,2,13,4,1,<=50K
19,59,40,2,6,0,12,4,0,<=50K
20,56,40,1,1,2,12,4,1,>50K
21,19,40,2,6,1,2,4,1,<=50K
22,39,80,2,6,0,3,4,1,<=50K
23,49,40,2,6,2,2,4,1,<=50K
24,23,52,1,7,1,10,4,1,<=50K
25,20,44,2,1,1,11,2,1,<=50K
26,45,40,2,1,0,3,4,1,<=50K
27,30,40,1,1,2,0,4,1,<=50K
28,22,15,1,1,2,7,2,1,<=50K
29,21,40,2,1,1,6,4,1,<=50K
30,19,25,2,6,2,0,4,0,<=50K
31,48,40,0,7,2,9,4,1,<=50K
32,31,43,2,4,2,6,4,1,<=50K
33,53,40,0,1,2,9,4,1,<=50K
34,24,50,2,1,2,12,4,1,<=50K
35,49,40,2,6,4,0,4,0,<=50K
36,25,35,2,6,1,5,4,1,<=50K
37,57,40,1,1,2,9,2,1,>50K
38,53,38,2,6,2,6,4,1,<=50K
39,44,40,2,3,0,3,4,0,<=50K
40,41,40,1,7,2,2,4,1,<=50K
41,29,43,2,7,1,9,4,1,<=50K
42,25,40,2,1,2,3,3,0,<=50K
43,50,55,1,1,0,3,4,1,>50K
44,47,60,0,6,0,3,4,1,<=50K
45,43,40,2,1,2,12,4,1,>50K
46,41,48,2,6,2,0,4,1,<=50K
47,30,40,2,6,2,6,4,1,<=50K
48,30,40,2,1,2,11,4,1,<=50K
49,48,40,2,6,2,13,4,1,<=50K
50,42,45,2,2,2,9,4,1,>50K
51,29,58,2,1,0,12,4,1,<=50K
52,36,40,2,6,2,2,4,1,<=50K
53,28,40,2,1,0,0,4,0,<=50K
54,53,40,2,6,2,0,4,0,>50K
55,49,50,0,1,2,3,4,1,>50K
56,19,32,2,1,1,9,4,1,<=50K
57,31,40,2,1,4,11,2,0,<=50K
58,29,70,0,1,2,11,4,1,>50K
59,23,40,2,1,1,6,4,1,<=50K
60,79,20,2,1,2,9,4,1,<=50K
61,40,40,2,7,2,0,4,1,<=50K
62,18,22,2,4,1,7,4,0,<=50K
63,31,40,1,5,2,4,4,1,<=50K
64,18,30,2,6,1,11,4,1,<=50K
65,46,40,2,6,2,7,4,0,<=50K
66,59,48,2,6,2,11,4,1,<=50K
67,44,40,2,6,0,2,4,0,>50K
68,53,35,2,6,0,11,4,0,<=50K
69,49,40,1,6,2,10,4,1,>50K
70,33,50,2,3,2,9,4,1,<=50K
71,30,40,2,4,1,11,4,1,<=50K
72,43,50,1,2,1,9,4,0,>50K
73,57,40,2,7,2,9,4,1,<=50K
74,37,40,2,1,0,2,4,0,<=50K
75,28,25,2,1,0,6,2,0,<=50K
76,34,40,1,1,2,10,4,1,>50K
77,29,50,1,1,1,5,4,1,<=50K
78,48,60,0,2,2,9,4,1,>50K
79,37,48,2,1,2,11,4,1,>50K
80,32,40,1,6,1,7,2,1,<=50K
81,76,40,2,3,2,3,4,1,>50K
82,44,60,2,1,2,3,4,1,>50K
83,47,50,0,3,1,9,4,0,<=50K
84,20,40,2,1,1,12,4,0,<=50K
85,29,40,2,6,1,2,4,1,<=50K
86,32,40,0,6,2,2,4,1,>50K
87,30,40,2,4,1,5,4,1,<=50K
88,31,40,1,6,1,0,4,0,<=50K
89,42,40,2,6,2,5,4,1,<=50K
90,24,40,2,1,1,11,4,1,<=50K
91,38,40,2,0,2,9,4,1,>50K
92,28,25,2,1,2,11,4,0,<=50K
